Generation 0:
Set0 [P:<0.30537216686450275> C:<0.060856204429168795>]
 Set1 [P:<1.0006627505801087> C:<1.167265375430754>]
 Set2 [P:<0.3290351167589058> C:<1.1698516089769997>]
 Set3 [P:<0.6909239021943044> C:<0.8932415114620971>]
 Set4 [P:<0.6718029895259269> C:<0.750967012355687>]
 Set5 [P:<0.28278635897641363> C:<0.4597768410554825>]
 Set6 [P:<0.7336119573856892> C:<0.8141719502204002>]
 Set7 [P:<0.6938928301460667> C:<0.5250670974549528>]
 Set8 [P:<0.5173810039996282> C:<0.5575646086796536>]
 Set9 [P:<0.5032020030170267> C:<0.4984103723731689>]
 Generation 1:
Set0 [P:<0.30537216686450275> C:<0.5064626670439106>]
 Set1 [P:<1.167265375430754> C:<0.9683488212417154>]
 Set2 [P:<1.1698516089769997> C:<0.7508218427980976>]
 Set3 [P:<0.8932415114620971> C:<0.46555372041322063>]
 Set4 [P:<0.750967012355687> C:<0.5938027876890983>]
 Set5 [P:<0.4597768410554825> C:<0.3415618181379515>]
 Set6 [P:<0.8141719502204002> C:<0.7832033979711641>]
 Set7 [P:<0.6938928301460667> C:<0.5994953814492865>]
 Set8 [P:<0.5575646086796536> C:<0.5468672448092491>]
 Set9 [P:<0.5032020030170267> C:<0.49382500511955946>]
 Generation 2:
Set0 [P:<0.5064626670439106> C:<0>]
 Set1 [P:<1.167265375430754> C:<0.9137852446249933>]
 Set2 [P:<1.1698516089769997> C:<0.361357322756509>]
 Set3 [P:<0.8932415114620971> C:<0.6404258533725233>]
 Set4 [P:<0.750967012355687> C:<0.985948338783403>]
 Set5 [P:<0.4597768410554825> C:<0.522280872884536>]
 Set6 [P:<0.8141719502204002> C:<0.8116618119544418>]
 Set7 [P:<0.6938928301460667> C:<0.6345452326424659>]
 Set8 [P:<0.5575646086796536> C:<0.8557783047348332>]
 Set9 [P:<0.5032020030170267> C:<0.5240326944800704>]
 Generation 3:
Set0 [P:<0.5064626670439106> C:<0.6135799898351999>]
 Set1 [P:<1.167265375430754> C:<1.060258063905923>]
 Set2 [P:<1.1698516089769997> C:<0>]
 Set3 [P:<0.8932415114620971> C:<0.7536502678508851>]
 Set4 [P:<0.985948338783403> C:<1.1050036601575879>]
 Set5 [P:<0.522280872884536> C:<-0.054991103087179305>]
 Set6 [P:<0.8141719502204002> C:<0.5329090527106427>]
 Set7 [P:<0.6938928301460667> C:<0.8193095105994589>]
 Set8 [P:<0.8557783047348332> C:<0.8657665078200807>]
 Set9 [P:<0.5240326944800704> C:<0.6616960723751983>]
 Generation 4:
Set0 [P:<0.6135799898351999> C:<0.4630450049028652>]
 Set1 [P:<1.167265375430754> C:<1.0244941767477969>]
 Set2 [P:<1.1698516089769997> C:<0.6335122222950815>]
 Set3 [P:<0.8932415114620971> C:<0.8815508781695856>]
 Set4 [P:<1.1050036601575879> C:<0.9900119196822094>]
 Set5 [P:<0.522280872884536> C:<0.536979369826517>]
 Set6 [P:<0.8141719502204002> C:<0.6876407503505813>]
 Set7 [P:<0.8193095105994589> C:<0.5968077584553917>]
 Set8 [P:<0.8657665078200807> C:<0.7993504982483066>]
 Set9 [P:<0.6616960723751983> C:<0.6420936459345948>]
 Generation 5:
Set0 [P:<0.6135799898351999> C:<0.4446924522029182>]
 Set1 [P:<1.167265375430754> C:<0.8256664893609243>]
 Set2 [P:<1.1698516089769997> C:<0.5525587783609524>]
 Set3 [P:<0.8932415114620971> C:<0.841291067027332>]
 Set4 [P:<1.1050036601575879> C:<0.9808096957804671>]
 Set5 [P:<0.536979369826517> C:<0.3613341886884518>]
 Set6 [P:<0.8141719502204002> C:<0.7892105499288057>]
 Set7 [P:<0.8193095105994589> C:<0.5245795095244771>]
 Set8 [P:<0.8657665078200807> C:<1.0461503841271955>]
 Set9 [P:<0.6616960723751983> C:<0.5031869210908948>]
 Generation 6:
Set0 [P:<0.6135799898351999> C:<0.22115543841785995>]
 Set1 [P:<1.167265375430754> C:<0.6927586078905396>]
 Set2 [P:<1.1698516089769997> C:<0.9916086809244845>]
 Set3 [P:<0.8932415114620971> C:<0.8055855928035685>]
 Set4 [P:<1.1050036601575879> C:<0.8379328112589242>]
 Set5 [P:<0.536979369826517> C:<0.5927011753205818>]
 Set6 [P:<0.8141719502204002> C:<0.7607907594360006>]
 Set7 [P:<0.8193095105994589> C:<0.6154350970985109>]
 Set8 [P:<1.0461503841271955> C:<1.0421537101106244>]
 Set9 [P:<0.6616960723751983> C:<0.6070779293378172>]
 Generation 7:
Set0 [P:<0.6135799898351999> C:<0>]
 Set1 [P:<1.167265375430754> C:<1.0020372041141576>]
 Set2 [P:<1.1698516089769997> C:<0.333521100442696>]
 Set3 [P:<0.8932415114620971> C:<0.7216545871513045>]
 Set4 [P:<1.1050036601575879> C:<0.8716514487757081>]
 Set5 [P:<0.5927011753205818> C:<0.27627383365152336>]
